City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiksi,71.6872,128.8694,17.49,91,83,2.42,RU,1633825667
Marsá Maţrūḩ,31.3525,27.2453,71.58,74,0,4.99,EG,1633825812
Bredasdorp,-34.5322,20.0403,47.52,93,1,3.44,ZA,1633825814
Bluff,-46.6,168.3333,56.23,57,58,3.24,NZ,1633825815
Butaritari,3.0707,172.7902,81.64,74,39,11.52,KI,1633825817
Sillod,20.3,75.65,71.2,85,13,5.14,IN,1633825818
Busselton,-33.65,115.3333,56.05,66,71,7.52,AU,1633825820
Myaundzha,63.0494,147.1858,17.15,77,24,2.89,RU,1633825821
Westport,41.1415,-73.3579,64.8,83,90,1.01,US,1633825743
Tasiilaq,65.6145,-37.6368,32.16,73,90,6.55,GL,1633825825
Bilibino,68.0546,166.4372,11.28,93,98,1.23,RU,1633825826
Tuktoyaktuk,69.4541,-133.0374,30.2,86,90,13.8,CA,1633825828
Jamestown,42.097,-79.2353,63.99,88,90,5.99,US,1633825737
Cape Town,-33.9258,18.4232,59.11,66,0,5.75,ZA,1633825769
Narsaq,60.9167,-46.05,30.42,46,9,6.85,GL,1633825831
Port Elizabeth,-33.918,25.5701,57.49,94,90,9.22,ZA,1633825833
Udachny,66.4167,112.4,34.12,99,100,9.17,RU,1633825835
Am Timan,11.0297,20.2827,77.07,65,97,4.32,TD,1633825836
Boa Vista,2.8197,-60.6733,85.98,70,20,3.44,BR,1633825837
Ostrovnoy,68.0531,39.5131,39.61,97,100,9.98,RU,1633825839
Yellowknife,62.456,-114.3525,42.42,100,90,4.61,CA,1633825840
Mataura,-46.1927,168.8643,65.1,40,75,4.59,NZ,1633825842
Arraial do Cabo,-22.9661,-42.0278,67.51,80,100,17.76,BR,1633825843
Hong Kong,22.2855,114.1577,82.26,87,100,8.01,HK,1633825647
Punta Arenas,-53.15,-70.9167,42.91,87,75,23.02,CL,1633825846
Barrow,71.2906,-156.7887,32.02,74,75,9.22,US,1633825847
Saint-François,46.4154,3.9054,44.04,96,1,3.44,FR,1633825848
Rikitea,-23.1203,-134.9692,74.57,81,94,17.31,PF,1633825850
Coahuayana Viejo,18.7333,-103.6833,87.28,87,100,2.62,MX,1633825851
Umm Kaddadah,13.6017,26.6876,83.32,14,100,11.43,SD,1633825853
Touros,-5.1989,-35.4608,79.7,77,73,15.75,BR,1633825766
Thompson,55.7435,-97.8558,48.36,57,40,3.44,CA,1633825855
Alofi,-19.0595,-169.9187,82.29,74,100,6.91,NU,1633825857
Antalaha,-14.9003,50.2788,66.42,80,3,6.76,MG,1633825858
Ribeira Grande,38.5167,-28.7,71.33,82,100,21.25,PT,1633825860
Lompoc,34.6391,-120.4579,74.37,66,1,17.27,US,1633825861
São Francisco de Paula,-29.4481,-50.5836,56.68,97,100,3.36,BR,1633825865
Kahului,20.8947,-156.47,79.86,83,40,19.57,US,1633825867
Sitka,57.0531,-135.33,45.77,85,100,9.55,US,1633825868
São João da Barra,-21.6403,-41.0511,68.43,80,100,9.28,BR,1633825743
Puerto Ayora,-0.7393,-90.3518,69.55,87,96,5.99,EC,1633825871
Bambous Virieux,-20.3428,57.7575,72.21,83,75,14.97,MU,1633825659
Qaqortoq,60.7167,-46.0333,30.7,54,17,5.41,GL,1633825751
Zhigansk,66.7697,123.3711,32.72,99,100,19.66,RU,1633825875
Pokotylivka,49.9153,36.1772,42.94,48,0,4.0,UA,1633825877
Cidreira,-30.1811,-50.2056,63.82,90,100,18.95,BR,1633825878
Reconquista,-29.15,-59.65,67.69,74,14,8.05,AR,1633825879
Hermanus,-34.4187,19.2345,55.9,82,0,9.91,ZA,1633825881
Longyearbyen,78.2186,15.6401,19.24,79,0,9.22,SJ,1633825882
Sangmélima,2.9333,11.9833,69.19,99,100,3.49,CM,1633825883
Ushuaia,-54.8,-68.3,44.26,87,75,25.32,AR,1633825885
Laredo,27.5064,-99.5075,93.45,32,1,10.36,US,1633825799
Cayenne,4.9333,-52.3333,83.08,81,100,2.3,GF,1633825672
Carnarvon,-24.8667,113.6333,69.87,35,0,16.11,AU,1633825889
Mandalgovi,45.7625,106.2708,31.91,59,0,8.63,MN,1633825891
Tolaga Bay,-38.3667,178.3,59.38,62,61,12.59,NZ,1633825892
Jardim,-21.4803,-56.1381,72.45,94,100,7.85,BR,1633825893
Wajima,37.4,136.9,75.88,83,20,4.61,JP,1633825896
Lumby,50.2498,-118.969,56.73,68,100,3.44,CA,1633825848
Dikson,73.5069,80.5464,30.07,59,100,24.09,RU,1633825898
Goubellat,36.5418,9.6633,64.62,76,12,9.53,TN,1633825901
Bengkulu,-3.8004,102.2655,79.39,86,27,3.42,ID,1633825903
Saint-Philippe,-21.3585,55.7679,69.39,85,73,13.94,RE,1633825905
Djenné,13.9061,-4.5533,86.09,21,84,2.1,ML,1633825906
Kutum,14.2,24.6667,75.29,15,99,8.68,SD,1633825908
Sinnamary,5.3833,-52.95,80.31,77,100,13.67,GF,1633825752
Kamenka,51.3223,42.7678,39.34,73,48,6.06,RU,1633825910
Ponta Delgada,37.7333,-25.6667,72.5,83,40,11.5,PT,1633825878
Mar del Plata,-38.0023,-57.5575,54.12,58,0,5.99,AR,1633825688
Shache,38.4167,77.2406,43.79,27,71,3.51,CN,1633825914
Mareeba,-17.0,145.4333,83.48,53,76,9.28,AU,1633825915
Fortuna,40.5982,-124.1573,62.37,62,0,4.0,US,1633825917
Qaanaaq,77.484,-69.3632,28.26,74,100,13.29,GL,1633825918
Laguna,38.421,-121.4238,77.11,33,1,1.99,US,1633825920
Esperance,-33.8667,121.9,57.04,51,80,4.21,AU,1633825707
Avarua,-21.2078,-159.775,78.85,57,91,6.91,CK,1633825922
Lebu,-37.6167,-73.65,49.82,95,2,7.52,CL,1633825924
Gravdal,68.1214,13.5031,51.15,97,100,18.63,NO,1633825781
Kavieng,-2.5744,150.7967,83.8,70,91,8.05,PG,1633825926
Chokurdakh,70.6333,147.9167,10.33,94,82,5.61,RU,1633825928
Codrington,-38.2667,141.9667,53.22,71,26,12.3,AU,1633825767
Atuona,-9.8,-139.0333,78.1,74,7,17.43,PF,1633825643
Nikolskoye,59.7035,30.7861,50.4,82,100,5.37,RU,1633825931
Cherskiy,68.75,161.3,12.34,94,84,5.91,RU,1633825823
Tongzi,28.7829,105.0877,64.81,92,100,5.73,CN,1633825934
Hearst,49.6835,-83.6665,62.85,97,100,4.34,CA,1633825935
Khatanga,71.9667,102.5,15.82,97,100,1.01,RU,1633825937
Salym,60.0625,71.4789,29.62,95,24,5.95,RU,1633825938
Vostok,46.4856,135.8833,45.3,98,100,4.9,RU,1633825940
Kapaa,22.0752,-159.319,87.78,68,90,5.01,US,1633825653
Charleston,32.7766,-79.9309,73.02,87,75,7.0,US,1633825749
Lagoa,39.05,-27.9833,69.71,80,99,23.15,PT,1633825943
Kodinsk,58.6881,99.1844,34.11,77,97,15.03,RU,1633825945
Upington,-28.4478,21.2561,62.98,25,0,6.91,ZA,1633825946
Grindavik,63.8424,-22.4338,42.91,93,20,12.66,IS,1633825948
Saint-Pierre,-21.3393,55.4781,69.48,73,75,4.61,RE,1633825654
Cherepovets,59.1333,37.9,44.89,91,100,6.58,RU,1633825951
Kuandian,40.7286,124.7847,55.94,78,100,6.08,CN,1633825953
Salalah,17.0151,54.0924,80.69,78,20,3.44,OM,1633825954
Jadu,31.953,12.0261,60.96,79,8,3.02,LY,1633825956
Mayahi,13.9553,7.6712,84.81,16,17,5.39,NE,1633825957
Albany,42.6001,-73.9662,60.03,80,100,1.01,US,1633825824
Norman Wells,65.282,-126.8329,32.04,93,75,10.36,CA,1633825960
Mahébourg,-20.4081,57.7,72.25,83,75,14.97,MU,1633825961
Youkounkoun,12.5333,-13.1333,78.58,89,100,4.0,GN,1633825962
Tawao,4.2498,117.8871,82.53,88,100,1.99,MY,1633825964
Barra de Tecoanapa,16.5167,-98.75,79.43,84,100,5.48,MX,1633825965
Ambilobe,-13.2,49.05,68.74,72,31,4.03,MG,1633825967
Leningradskiy,69.3833,178.4167,20.26,94,100,4.25,RU,1633825756
Sesheke,-17.4759,24.2968,74.48,24,6,4.36,ZM,1633825969
Shīeli,44.1667,66.75,45.91,31,100,6.64,KZ,1633825971
Castro,-24.7911,-50.0119,56.14,98,100,9.19,BR,1633825972
Asău,46.4333,26.4,38.75,77,0,4.32,RO,1633825974
Broken Hill,-31.95,141.4333,51.51,87,90,19.57,AU,1633825933
Nelson Bay,-32.7167,152.15,89.76,44,100,5.28,AU,1633825977
Karakol,42.4907,78.3936,39.83,57,82,2.91,KG,1633825979
Storm Lake,42.6411,-95.2097,73.09,78,1,9.22,US,1633825791
East London,-33.0153,27.9116,60.03,69,38,17.18,ZA,1633825888
Oranjemund,-28.55,16.4333,57.83,82,5,7.49,NA,1633825701
Belaya Gora,68.5333,146.4167,22.06,64,100,4.21,RU,1633825986
Angren,41.0167,70.1436,41.0,96,100,4.12,UZ,1633825987
Avera,33.194,-82.5271,71.65,85,30,5.06,US,1633825716
Egvekinot,66.3167,-179.1667,20.93,82,96,3.65,RU,1633825989
Vaini,-21.2,-175.2,78.96,83,40,8.05,TO,1633825991
Osypenko,46.9136,36.8253,48.83,39,93,16.82,UA,1633825992
Yuli,9.6989,10.2744,76.68,75,100,2.46,NG,1633825994
Revda,56.801,59.9303,38.21,95,100,5.77,RU,1633825995
San Vicente,-26.6167,-54.1333,63.41,100,100,2.26,AR,1633825996
Champerico,14.3,-91.9167,85.35,81,100,8.01,GT,1633825780
San Quintín,30.4833,-115.95,67.21,68,1,20.36,MX,1633825999
Ancud,-41.8697,-73.8203,53.13,93,0,3.47,CL,1633825892
Velasco Ibarra,-1.05,-79.6167,79.9,65,100,10.27,EC,1633826003
Pevek,69.7008,170.3133,25.5,93,100,2.91,RU,1633825763
Hilo,19.7297,-155.09,79.29,83,90,5.75,US,1633825813
Saskylakh,71.9167,114.0833,19.13,95,100,2.33,RU,1633826007
Wanaka,-44.7,169.15,61.11,52,53,5.01,NZ,1633826008
Liverpool,53.4106,-2.9779,59.29,90,75,3.0,GB,1633825815
Honiara,-9.4333,159.95,86.36,66,51,5.7,SB,1633826011
Flinders,-34.5833,150.8552,73.8,77,83,8.01,AU,1633825731
New Norfolk,-42.7826,147.0587,53.1,47,77,4.0,AU,1633826013
Guerrero Negro,27.9769,-114.0611,71.19,57,0,21.79,MX,1633826015
El Alto,-4.2714,-81.2147,63.3,85,84,13.62,PE,1633826016
Santa Maria,-29.6842,-53.8069,65.5,88,90,10.36,BR,1633826018
Bubaque,11.2833,-15.8333,82.29,76,27,9.06,GW,1633826020
Ilulissat,69.2167,-51.1,30.22,74,75,11.5,GL,1633826021
Leer,8.3018,30.1418,72.88,90,76,4.68,SS,1633826024
Ivybridge,50.3904,-3.9191,57.56,95,100,6.04,GB,1633826025
Provideniya,64.3833,-173.3,32.45,72,32,3.83,RU,1633826027
Jiaojiang,28.6803,121.4428,80.85,80,15,6.42,CN,1633826028
Southbridge,42.0751,-72.0334,59.38,88,100,7.54,US,1633826029
Faya,18.3851,42.4509,64.51,46,8,8.43,SA,1633826031
Saint George,37.1041,-113.5841,72.63,26,20,4.0,US,1633826032
Buchanan,5.8808,-10.0467,76.57,90,62,4.07,LR,1633826035
Paullo,45.4187,9.3977,58.53,61,75,1.01,IT,1633826037
Nanortalik,60.1432,-45.2371,36.03,82,12,7.56,GL,1633826038
Saldanha,-33.0117,17.9442,50.05,79,38,9.89,ZA,1633826040
Hithadhoo,-0.6,73.0833,82.54,70,89,11.05,MV,1633826041
Neiafu,-18.65,-173.9833,81.28,74,40,6.91,TO,1633826043
Chui,-33.6971,-53.4616,56.48,84,2,9.75,UY,1633826044
Port Alfred,-33.5906,26.891,58.24,77,19,13.06,ZA,1633826047
Saint Paul Harbor,57.79,-152.4072,53.11,43,20,19.57,US,1633826048
Nikolayevsk-on-Amur,53.1406,140.73,44.74,86,100,2.77,RU,1633826050
Mahibadhoo,3.7833,72.9667,83.23,76,100,13.94,MV,1633826051
Malakal,9.5334,31.6605,73.49,95,67,4.94,SS,1633826052
Onda,39.9667,-0.25,66.29,85,34,3.71,ES,1633826054
Simpang,-1.2667,104.0833,82.2,78,55,3.83,ID,1633826055
Kangaatsiaq,68.3065,-53.4641,29.8,79,100,14.2,GL,1633826057
Atar,20.5169,-13.0499,85.96,17,100,9.26,MR,1633826058
Tallahassee,30.4383,-84.2807,76.64,87,1,3.44,US,1633825792
São Filipe,14.8961,-24.4956,79.56,76,0,7.36,CV,1633826061
Kruisfontein,-34.0033,24.7314,52.88,78,5,7.87,ZA,1633826063
Araouane,18.9048,-3.5265,85.75,11,100,5.46,ML,1633826064
Samarai,-10.6167,150.6667,80.55,76,98,13.49,PG,1633826066
Port-Gentil,-0.7193,8.7815,76.96,94,90,12.66,GA,1633826067
Kathmandu,27.7167,85.3167,68.22,94,75,2.3,NP,1633825993
George Town,5.4112,100.3354,81.9,87,20,3.0,MY,1633826070
Kita,13.0349,-9.4895,79.36,67,100,2.59,ML,1633826071
Aksu,41.1231,80.2644,43.29,24,55,4.18,CN,1633826072
Bethel,41.3712,-73.414,62.58,84,75,1.01,US,1633826074
Airai,-8.9266,125.4092,78.42,23,88,2.98,TL,1633826075
Sept-Îles,50.2001,-66.3821,41.05,89,75,2.3,CA,1633825962
Konstantinovskoye,45.2992,42.6367,41.58,71,100,13.42,RU,1633826080
Binzhou,37.3667,118.0167,62.28,61,100,13.29,CN,1633826082
Saint-Leu,-21.15,55.2833,68.86,78,36,4.36,RE,1633826083
Waipawa,-41.4122,175.5153,56.03,58,37,12.59,NZ,1633826084
Ponta do Sol,32.6667,-17.1,72.23,75,21,4.72,PT,1633826087
Gaomi,36.3833,119.7528,62.38,85,100,13.31,CN,1633826088
Biak,-0.9131,122.8766,81.99,67,100,5.32,ID,1633826090
Samsun Province,41.25,36.3333,61.0,85,40,2.3,TR,1633826092
Baykit,61.67,96.37,32.92,82,100,15.35,RU,1633826094
Mount Gambier,-37.8333,140.7667,53.51,71,75,12.66,AU,1633826095
Kichmengskiy Gorodok,59.9816,45.7854,43.66,97,100,3.94,RU,1633826096
Lata,40.1629,-8.3327,61.07,71,37,3.4,PT,1633826098
Bourail,-21.5667,165.4833,80.42,41,0,7.2,NC,1633826099
Chechat,24.7667,75.8833,76.12,65,0,4.83,IN,1633826102
Pisco,-13.7,-76.2167,64.02,82,0,13.8,PE,1633826104
Faanui,-16.4833,-151.75,78.75,70,22,5.82,PF,1633826105
Strezhevoy,60.7333,77.5889,30.18,81,20,8.99,RU,1633826107
Constitución,-35.3333,-72.4167,50.54,90,67,3.56,CL,1633825856
Newport,51.5877,-2.9984,60.85,90,100,3.87,GB,1633825834
Koutsouras,35.0339,25.9469,70.11,79,0,1.74,GR,1633826111
Chumikan,54.7183,135.315,46.17,70,100,18.86,RU,1633826112
Beyneu,45.3167,55.2,46.0,63,0,7.63,KZ,1633826115
Mount Isa,-20.7333,139.5,89.37,33,90,5.75,AU,1633826116
Myanaung,18.2833,95.3167,78.4,90,70,1.79,MM,1633826117
San Policarpo,12.1791,125.5072,83.79,73,100,19.01,PH,1633826119
Oranjestad,12.524,-70.027,84.15,79,20,13.8,AW,1633825933
Tortolì,39.9256,9.6572,62.42,72,20,9.22,IT,1633826121
Norwich,52.6278,1.2983,56.86,96,100,2.3,GB,1633825858
Kavaratti,10.5669,72.642,81.97,79,48,12.28,IN,1633826124
Goderich,43.7501,-81.7165,64.9,92,15,14.61,CA,1633826125
Lat Yao,15.751,99.7893,79.61,82,95,2.44,TH,1633826127
Priozyornoye,45.2698,36.3303,53.73,62,77,14.99,UA,1633826128
Ojinaga,29.5667,-104.4167,95.95,10,1,0.0,MX,1633826131
Hobart,-42.8794,147.3294,53.46,52,75,8.01,AU,1633825940
Souillac,-20.5167,57.5167,72.36,83,75,14.97,MU,1633826133
Tambopata,-12.7333,-69.1833,80.64,68,76,2.46,PE,1633826134
Perafita,41.1825,-8.2545,63.28,51,73,4.56,PT,1633826136
Marawi,7.9986,124.2928,74.95,79,100,4.23,PH,1633826137
Nago,26.5881,127.9761,84.27,75,93,19.73,JP,1633826139
Tawang Town,27.5833,91.8667,54.14,69,1,2.75,IN,1633826140
Lüderitz,-26.6481,15.1594,62.85,53,18,13.51,NA,1633826142
Pasir Gudang,1.4584,103.8805,84.36,82,75,3.44,MY,1633826143
Kumul,42.8,93.45,43.02,32,0,6.17,CN,1633826020
Papar,5.7333,115.9333,82.4,74,100,3.58,MY,1633826145
Iguape,-24.7081,-47.5553,65.23,95,100,14.67,BR,1633826147
Alabaster,33.2443,-86.8164,73.99,91,1,0.0,US,1633826148
Riyadh,24.6877,46.7219,73.54,18,0,2.57,SA,1633826150
Namtsy,62.7161,129.6658,37.51,81,100,8.9,RU,1633826151
Geraldton,-28.7667,114.6,64.81,39,0,11.5,AU,1633825881
Florianópolis,-27.6146,-48.5012,65.62,86,90,2.3,BR,1633826052
Ginir,7.1333,40.7,58.44,82,94,5.59,ET,1633826155
Omboué,-1.5746,9.2618,76.78,90,100,8.77,GA,1633826156
San Alberto,7.7611,-73.3922,76.8,91,100,5.1,CO,1633826158
Andenes,69.3143,16.1194,47.07,93,75,5.75,NO,1633826159
Urubichá,-15.3833,-62.95,77.34,74,31,2.68,BO,1633826161
Lavrentiya,65.5833,-171.0,32.34,74,82,7.38,RU,1633826162
Dali,25.7,100.1833,63.63,75,14,2.39,CN,1633826165
Hailey,43.5196,-114.3153,49.89,82,40,0.0,US,1633826166
Ternuvate,47.8305,36.1276,49.48,31,100,11.95,UA,1633826168
Zabid,14.1951,43.3152,85.69,71,89,3.62,YE,1633826169
Yulara,-25.2406,130.9889,64.24,59,75,18.41,AU,1633826171
Kandé,9.9578,1.0447,75.54,87,100,0.69,TG,1633826172
Te Anau,-45.4167,167.7167,58.91,60,75,6.49,NZ,1633826174
Khovd,48.0056,91.6419,32.63,35,9,1.77,MN,1633826175
Ranong,9.9658,98.6348,76.93,83,98,15.12,TH,1633826177
Agüimes,27.9054,-15.4461,69.01,70,20,14.97,ES,1633826178
Likasi,-10.9814,26.7333,71.74,38,96,3.85,CD,1633826180
Owando,-0.4819,15.8999,72.28,98,100,2.48,CG,1633826181
Ciudad de Armería,18.9333,-103.9667,87.1,85,100,3.04,MX,1633826182
Padang,-0.9492,100.3543,77.05,80,32,2.48,ID,1633825987
Luau,-10.7073,22.2247,71.22,31,5,1.99,AO,1633826185
Urengoy,65.9667,78.3667,27.39,84,24,13.27,RU,1633826186
Vaitape,-16.5167,-151.75,78.73,70,23,5.73,PF,1633826189
Cajamarca,-7.1638,-78.5003,56.05,94,100,1.59,PE,1633826191
Port Lincoln,-34.7333,135.8667,54.25,61,82,15.39,AU,1633826193
Mountain Home,43.133,-115.6912,59.74,38,1,14.97,US,1633826142
Guatapé,6.2327,-75.1586,65.25,98,100,2.46,CO,1633826195
Rolla,37.9514,-91.7713,77.07,64,1,4.0,US,1633826192
Abrau-Dyurso,44.69,37.59,47.66,74,80,7.34,RU,1633826198
Pryazha,61.6926,33.6216,49.23,96,68,6.11,RU,1633826199
Kikwit,-5.041,18.8162,73.35,81,100,1.28,CD,1633826200
Pueblo Bello,8.2041,-76.526,74.05,98,100,4.21,CO,1633826202
Verkhovazh'ye,60.7472,42.0465,46.27,97,100,6.04,RU,1633826204
Eureka,40.8021,-124.1637,62.64,72,0,3.0,US,1633826020
Pleven,43.4167,24.6167,46.8,100,90,4.61,BG,1633826208
Krasnotur'insk,59.7666,60.2086,27.16,89,80,3.31,RU,1633826209
La Macarena,2.1837,-73.7849,75.96,88,99,2.35,CO,1633826211
