City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Joensuu,62.6012,29.7632,52.29,93,90,4.61,FI,1633826212
Hasaki,35.7333,140.8333,72.28,76,31,6.71,JP,1633826213
Viedma,-40.8135,-62.9967,60.48,39,0,14.83,AR,1633826215
Swan River,52.1058,-101.2676,53.49,58,4,2.3,CA,1633826216
Brooks,50.5834,-111.8851,63.23,15,10,1.14,CA,1633826217
Kungurtug,50.5994,97.5228,26.91,66,10,2.44,RU,1633826219
Kaitangata,-46.2817,169.8464,57.92,65,11,6.4,NZ,1633826220
Batagay,67.6333,134.6333,33.1,62,100,5.97,RU,1633826222
Upernavik,72.7868,-56.1549,32.54,75,100,18.43,GL,1633826224
Dunedin,-45.8742,170.5036,56.8,71,8,11.99,NZ,1633826225
Kismayo,-0.3582,42.5454,77.18,84,15,11.59,SO,1633826227
Tarakan,3.3,117.6333,78.3,94,75,2.3,ID,1633826229
Clyde River,70.4692,-68.5914,33.6,78,100,4.34,CA,1633826231
Qobustan,40.0824,49.412,55.51,65,100,6.15,AZ,1633826232
Cabo San Lucas,22.8909,-109.9124,90.7,55,1,4.61,MX,1633826156
College,64.8569,-147.8028,39.58,83,75,4.61,US,1633826235
Harper,4.375,-7.7169,76.23,90,100,6.06,LR,1633826236
Leyland,53.6979,-2.6876,59.14,94,96,7.36,GB,1633826237
Maceió,-9.6658,-35.7353,76.44,94,75,3.44,BR,1633826239
Kirakira,-10.4544,161.9205,83.1,75,49,2.68,SB,1633826240
Ayan,56.45,138.1667,43.99,55,37,7.25,RU,1633826242
Ubatuba,-23.4339,-45.0711,67.59,95,100,11.18,BR,1633826243
Bhīnmāl,25.0,72.25,79.45,77,0,6.58,IN,1633826244
Hrodna,53.6884,23.8258,38.5,85,0,3.83,BY,1633826246
Margate,51.3813,1.3862,52.95,98,41,5.08,GB,1633826247
Haines Junction,60.7522,-137.5108,42.75,49,100,5.75,CA,1633826249
Vanavara,60.34,102.2797,32.79,79,100,18.05,RU,1633826251
Naze,28.3667,129.4833,81.52,74,22,20.13,JP,1633826252
Gamba,-2.65,10.0,76.32,90,100,7.99,GA,1633826254
Iznoski,54.9881,35.3108,35.11,77,6,2.77,RU,1633826255
Jutaí,-5.1833,-68.9,81.27,66,100,2.04,BR,1633826256
Talara,-4.5772,-81.2719,64.49,89,84,12.59,PE,1633825966
Inhambane,-23.865,35.3833,69.06,84,10,7.61,MZ,1633826259
Baharly,38.4362,57.4316,44.76,34,0,3.15,TM,1633826260
Mayumba,-3.432,10.6554,76.59,88,100,7.47,GA,1633826262
Nuevo Progreso,23.1667,-97.95,81.54,65,4,1.01,MX,1633826263
Ahipara,-35.1667,173.1667,60.4,64,72,11.83,NZ,1633826265
Alexandria,31.2156,29.9553,74.19,72,0,8.75,EG,1633826244
Severo-Kuril'sk,50.6789,156.125,47.48,71,50,12.68,RU,1633826268
Pecos,31.4229,-103.4932,97.63,15,1,8.05,US,1633826271
Coyhaique,-45.5752,-72.0662,51.75,66,20,3.44,CL,1633825987
Khartoum,15.5518,32.5324,94.12,19,87,7.2,SD,1633826138
Along,28.1667,94.7667,71.91,95,40,0.94,IN,1633826274
Boone,39.0334,-92.3335,79.65,63,100,3.0,US,1633826217
Kabo,7.6994,18.629,72.68,94,100,3.36,CF,1633826277
Tuatapere,-46.1333,167.6833,62.78,50,84,3.76,NZ,1633826278
Murray Bridge,-35.1167,139.2667,61.47,45,100,11.43,AU,1633826280
Kawalu,-7.3817,108.2082,77.02,82,87,3.4,ID,1633826281
Tura,25.5198,90.2201,75.38,86,0,2.57,IN,1633826283
Beringovskiy,63.05,179.3167,30.9,95,100,6.4,RU,1633826285
Jucás,-6.5253,-39.5275,82.04,53,72,6.87,BR,1633826287
Rawson,-43.3002,-65.1023,64.49,33,0,20.94,AR,1633826288
Jaqué,7.5175,-78.1703,78.55,89,100,5.86,PA,1633826290
Obo,5.3998,26.4869,69.71,95,100,1.74,CF,1633826291
Srednekolymsk,67.45,153.6833,21.34,76,17,4.76,RU,1633826292
Tucumcari,35.1717,-103.725,85.84,16,1,16.11,US,1633826294
Port Hedland,-20.3167,118.5667,84.25,21,0,19.57,AU,1633826296
Aras,42.5617,-2.356,54.05,87,68,6.02,ES,1633826298
Rabo de Peixe,37.8,-25.5833,71.28,81,40,11.5,PT,1633826299
Itarema,-2.9248,-39.9167,79.65,80,16,17.81,BR,1633826300
Derzhavīnsk,51.1,66.3167,38.8,61,0,5.79,KZ,1633826302
Pitsunda,43.1592,40.3378,55.58,56,13,3.2,GE,1633826303
Salinas,36.6777,-121.6555,74.01,62,1,12.66,US,1633826281
Huarmey,-10.0681,-78.1522,64.13,88,63,9.46,PE,1633826306
Tautira,-17.7333,-149.15,84.22,69,34,3.85,PF,1633826307
Meulaboh,4.1363,96.1285,79.36,78,20,4.92,ID,1633826309
Port Blair,11.6667,92.75,78.84,89,75,4.61,IN,1633826310
Kadaya,50.9327,119.2911,37.76,76,11,11.54,RU,1633826312
Whitehorse,60.7161,-135.0538,47.17,39,75,14.97,CA,1633826179
Camaná,-16.6228,-72.7111,63.07,91,99,8.5,PE,1633826314
Katangli,51.7102,143.2326,49.17,69,100,6.38,RU,1633826315
Polis,35.0367,32.4264,66.02,82,0,2.13,CY,1633826317
Snåase,64.2457,12.3778,54.41,98,100,1.83,NO,1633826318
Delījān,33.9905,50.6838,53.89,51,0,1.21,IR,1633826320
Santiago,-33.4569,-70.6483,56.35,62,20,14.97,CL,1633826219
Tutóia,-2.7619,-42.2744,80.15,81,23,10.63,BR,1633826322
Axum,14.1245,38.7244,60.78,70,86,2.84,ET,1633826323
Bathsheba,13.2167,-59.5167,75.81,94,75,11.5,BB,1633826325
Pombas,17.1503,-25.0201,76.78,80,18,11.23,CV,1633826327
Dondo,-19.6094,34.7431,66.42,82,0,5.1,MZ,1633826329
Port Shepstone,-30.7414,30.455,62.4,54,0,20.13,ZA,1633826330
Tual,-5.6667,132.75,82.17,78,90,8.81,ID,1633826332
Arrondissement de Dieppe,49.75,1.1667,49.32,83,26,2.13,FR,1633826333
Grimshaw,56.1834,-117.6027,53.22,43,75,23.02,CA,1633826334
Inndyr,67.0338,14.0276,53.78,93,100,13.82,NO,1633826336
North Bend,43.4065,-124.2243,60.93,77,1,5.75,US,1633826337
Crib Point,-38.35,145.2,61.36,56,55,10.25,AU,1633826339
Paidha,2.4167,30.9855,62.22,90,100,3.87,UG,1633826340
Makakilo City,21.3469,-158.0858,80.92,60,90,17.27,US,1633826341
Kamaishi,39.2667,141.8833,65.35,83,100,13.11,JP,1633826343
Hobyo,5.3505,48.5268,78.28,85,22,11.7,SO,1633826344
Nambucca Heads,-30.65,153.0,88.16,54,100,11.61,AU,1633826346
Warrnambool,-38.3833,142.4833,56.8,70,64,9.93,AU,1633826347
Lokosovo,61.1333,74.8167,28.49,83,89,7.4,RU,1633826349
Shaoguan,24.8,113.5833,76.95,86,100,3.76,CN,1633826350
Adrar,20.5022,-10.0711,84.2,16,55,8.9,MR,1633826352
Paamiut,61.994,-49.6678,35.76,53,100,3.09,GL,1633826353
Choya,52.0108,86.5467,35.65,81,0,4.03,RU,1633826355
Poum,-20.2333,164.0167,74.34,65,0,9.26,NC,1633826356
Rochegda,62.8,43.25,39.27,96,100,2.95,RU,1633826357
Altay,47.8667,88.1167,33.75,43,8,8.12,CN,1633826359
Pedro Carbo,-1.8333,-80.2333,78.28,68,97,7.07,EC,1633826360
Genhe,50.7833,121.5167,36.91,87,100,12.48,CN,1633826363
Albania,41.0,20.0,54.79,80,100,6.04,AL,1633826364
Yenagoa,4.9247,6.2642,74.82,96,99,3.4,NG,1633826365
Richards Bay,-28.783,32.0377,66.2,74,90,19.73,ZA,1633826367
Camacha,33.0833,-16.3333,68.76,68,40,13.8,PT,1633826368
Vylkove,45.4021,29.586,46.87,58,0,11.88,UA,1633826369
Neftçala,39.3742,49.2472,61.36,68,100,8.37,AZ,1633826371
Māngrol,21.1167,70.1167,80.83,79,81,1.14,IN,1633826373
Moranbah,-22.0016,148.0466,87.89,25,0,15.08,AU,1633826375
Pemangkat,1.1667,108.9667,82.0,82,100,5.59,ID,1633826376
Huntsville,34.7304,-86.5861,73.96,83,1,3.0,US,1633826357
Sigulda,57.1519,24.8647,41.77,93,95,4.65,LV,1633826380
San Rafael,-34.6177,-68.3301,62.91,50,100,4.81,AR,1633826382
Olafsvik,64.8945,-23.7142,41.11,81,78,10.78,IS,1633826384
Tigil',57.8,158.6667,36.86,84,23,11.79,RU,1633826385
Nampula,-15.1165,39.2666,69.75,73,0,13.8,MZ,1633826386
Aklavik,68.2191,-135.0107,31.03,97,92,6.93,CA,1633826388
Krasne,49.9145,24.6134,38.55,56,0,6.73,UA,1633826389
Bushehr,28.9684,50.8385,84.65,43,0,15.1,IR,1633826391
Somerville,42.3876,-71.0995,59.97,79,75,1.01,US,1633826196
Chulym,55.0997,80.9572,36.0,94,69,7.0,RU,1633826393
Shimoda,34.6667,138.95,71.71,83,78,7.65,JP,1633826395
Matagami,49.7502,-77.6328,62.71,82,90,10.36,CA,1633826396
Río Gallegos,-51.6226,-69.2181,62.65,34,0,25.32,AR,1633826398
Siguiri,11.6667,-9.5,73.42,88,100,2.8,GN,1633826399
Vila Velha,-20.3297,-40.2925,67.95,88,90,3.44,BR,1633826400
Suntar,62.1444,117.6319,36.99,95,100,10.36,RU,1633826402
Vangaindrano,-23.35,47.6,64.08,87,2,5.44,MG,1633826403
Rocha,-34.4833,-54.3333,50.16,94,0,5.46,UY,1633826405
Bonavista,48.6499,-53.1147,43.12,75,87,35.81,CA,1633826407
Nova Olímpia,-14.7972,-57.2881,87.67,47,84,5.48,BR,1633826408
Barth,54.3635,12.7249,47.08,67,9,9.98,DE,1633826410
Coaticook,45.1334,-71.7991,54.81,91,100,5.21,CA,1633826335
Nouakchott,18.0858,-15.9785,84.13,38,100,7.9,MR,1633826412
Ingham,42.6,-84.3833,66.74,93,1,0.0,US,1633826414
Piscu Vechi,43.9,23.1667,46.09,82,100,6.91,RO,1633826415
Boysun,38.2061,67.1986,40.5,48,78,1.14,UZ,1633826417
Payakumbuh,-0.2202,100.6308,76.82,85,59,1.59,ID,1633826418
Karratha,-20.7377,116.8463,82.98,27,0,23.4,AU,1633826419
Yarmouth,41.7057,-70.2286,60.98,89,20,4.0,US,1633826421
Cockburn Town,21.4612,-71.1419,82.36,69,40,8.05,TC,1633826221
Tomatlán,19.9333,-105.25,79.54,91,100,1.39,MX,1633826423
Hirado,33.3597,129.5531,78.15,66,0,1.23,JP,1633826425
Gīdolē,5.65,37.3667,60.98,65,98,1.79,ET,1633826426
Rach Gia,10.0167,105.0833,78.75,80,100,18.77,VN,1633826413
Colac,-38.3333,143.5833,55.62,50,75,6.13,AU,1633826428
Shelburne,44.0787,-80.2041,63.23,96,100,11.39,CA,1633826430
Khandyga,62.6667,135.6,35.2,83,100,8.9,RU,1633826431
Christchurch,-43.5333,172.6333,64.33,64,0,1.01,NZ,1633826232
Klaksvík,62.2266,-6.589,50.92,86,99,23.31,FO,1633826434
Taoudenni,22.6783,-3.9836,89.74,10,100,4.99,ML,1633826435
Changtu,42.7788,124.0955,51.3,52,17,14.74,CN,1633826437
Taltal,-25.4,-70.4833,60.24,63,0,4.45,CL,1633826421
Quaraí,-30.3875,-56.4514,60.33,91,38,16.26,BR,1633826440
Beroroha,-21.6667,45.1667,71.35,71,0,1.01,MG,1633826442
Lorengau,-2.0226,147.2712,81.73,79,100,2.66,PG,1633826444
Mogadishu,2.0371,45.3438,78.06,89,23,11.74,SO,1633826445
Mossamedes,-15.1961,12.1522,63.61,80,1,2.73,AO,1633826447
Saint-Joseph,-21.3667,55.6167,68.36,82,59,12.01,RE,1633826448
Muravlenko,63.7898,74.523,26.17,82,9,15.28,RU,1633826450
Nurota,40.5614,65.6886,37.49,51,8,10.49,UZ,1633826451
Sheboygan,43.7333,-87.9334,66.16,95,90,1.99,US,1633826453
El Vigia,8.6219,-71.6506,77.22,90,99,6.2,VE,1633826454
Cértegui,5.3707,-76.6044,72.55,99,100,1.81,CO,1633826455
The Valley,18.217,-63.0578,83.1,73,100,21.32,AI,1633826457
Wakkanai,45.4094,141.6739,62.58,59,75,19.57,JP,1633826458
Ust-Kuyga,70.0167,135.6,21.07,85,88,6.85,RU,1633826460
Kupang,-10.1667,123.5833,86.16,54,82,4.9,ID,1633826461
Oodweyne,9.4092,45.064,73.0,66,100,9.28,SO,1633826463
Adilabad,19.6667,78.5333,74.48,87,95,1.7,IN,1633826464
Agadez,19.75,10.25,77.45,10,5,6.26,NE,1633826465
Flin Flon,54.7682,-101.865,50.45,58,100,6.02,CA,1633826467
Turukhansk,65.8167,87.9833,24.53,73,100,15.9,RU,1633826468
Iqaluit,63.7506,-68.5145,33.53,100,90,0.0,CA,1633826470
Kidal,18.4411,1.4078,82.44,10,26,10.76,ML,1633826471
Novyy Urgal,51.0736,132.5642,43.12,96,100,5.1,RU,1633826472
Marabu,4.4148,114.0089,82.54,89,20,3.44,MY,1633826474
Madimba,-10.4,40.3333,74.73,86,54,7.0,TZ,1633826476
Mizdah,31.4451,12.9801,64.62,84,79,10.33,LY,1633826477
Walvis Bay,-22.9575,14.5053,55.09,76,4,3.44,NA,1633826478
Sibolga,1.7427,98.7792,80.58,82,31,1.28,ID,1633826480
Teeli,51.0333,90.2333,30.54,58,1,1.07,RU,1633826481
Liusha,27.2098,108.59,60.64,95,100,6.51,CN,1633826483
Plérin,48.5425,-2.7798,58.44,85,100,3.0,FR,1633826484
Tabou,4.423,-7.3528,76.1,91,99,6.17,CI,1633826486
Luena,-11.7833,19.9167,69.58,42,9,3.15,AO,1633826487
Malbork,54.0359,19.0266,39.88,73,45,4.56,PL,1633826488
Okhotsk,59.3833,143.3,30.51,66,0,12.19,RU,1633826490
Broome,42.2506,-75.833,61.38,74,40,1.01,US,1633826491
Nantucket,41.2835,-70.0995,60.96,84,1,8.05,US,1633826470
Raudeberg,61.9875,5.1352,56.19,92,100,13.0,NO,1633826495
Katsuura,35.1333,140.3,72.1,77,41,6.58,JP,1633826496
Guayaramerín,-10.8368,-65.3614,80.2,72,90,0.31,BO,1633826498
Potiskum,11.7091,11.0694,78.85,30,90,1.79,NG,1633826499
Mulchén,-37.7167,-72.2333,53.55,78,0,2.51,CL,1633826501
Ixtapa,20.7,-105.2,85.23,79,90,5.75,MX,1633826502
Banda Aceh,5.5577,95.3222,81.86,77,91,12.68,ID,1633826503
Keetmanshoop,-26.5833,18.1333,61.88,28,0,10.65,NA,1633826505
Sangar,63.9242,127.4739,31.32,97,100,11.16,RU,1633826506
Manta,-0.95,-80.7333,73.18,78,90,8.05,EC,1633826508
Dukat,62.55,155.55,19.94,77,19,4.16,RU,1633826509
Chumphon,10.3333,98.8333,73.51,85,98,9.33,TH,1633826511
Normandin,48.8333,-72.5321,55.02,93,100,0.0,CA,1633826512
Port Augusta,-32.5,137.7667,60.71,50,98,20.33,AU,1633826513
Jinchang,38.4953,102.1739,40.91,31,0,8.01,CN,1633826515
La Rioja,42.25,-2.5,49.48,96,13,3.65,ES,1633826516
Sabang,5.8933,95.3214,82.38,78,84,20.38,ID,1633826518
Tessalit,20.1986,1.0114,81.7,12,1,7.16,ML,1633826519
Beba,22.4437,-79.7253,80.87,90,100,4.41,CU,1633826521
Bjørnevatn,69.6672,29.9847,37.74,100,90,6.91,NO,1633826522
Aswān,24.0934,32.907,85.3,24,0,11.5,EG,1633826524
Gemeente Enkhuizen,52.7,5.2833,47.98,94,46,3.87,NL,1633826276
Ulaangom,49.9811,92.0667,33.66,52,1,3.71,MN,1633826528
Machalí,-34.1833,-70.6667,51.67,82,93,2.26,CL,1633826530
Juneau,58.3019,-134.4197,46.45,91,90,11.5,US,1633826531
Launceston,-41.45,147.1667,57.61,51,75,5.99,AU,1633826532
Katobu,-4.9408,122.5276,83.82,66,100,3.27,ID,1633826534
Coquimbo,-29.9533,-71.3436,56.93,71,0,8.05,CL,1633826535
Cap Malheureux,-19.9842,57.6142,72.46,74,1,7.0,MU,1633826537
Kashan,33.9831,51.4364,59.61,44,0,5.19,IR,1633826538
San Patricio,28.017,-97.5169,83.08,64,0,10.69,US,1633826539
Harrai,22.6167,79.2167,69.6,68,6,3.42,IN,1633826542
Havøysund,70.9963,24.6622,41.88,92,100,7.02,NO,1633826544
Monforte de Lemos,42.5216,-7.5142,60.57,91,94,2.21,ES,1633826545
Shebalino,51.2917,85.6772,29.21,82,5,5.5,RU,1633826546
Ginda,30.6945,78.4932,54.97,43,0,7.36,IN,1633826548
Husavik,66.0449,-17.3389,39.11,97,100,11.1,IS,1633826549
Vardø,70.3705,31.1107,42.04,91,100,6.82,NO,1633826550
Itoman,26.1247,127.6694,84.22,80,40,17.27,JP,1633826552
Manokwari,-0.8667,134.0833,84.27,69,10,4.03,ID,1633826553
Verāval,20.9,70.3667,80.42,81,44,0.58,IN,1633826411
Sola,-13.8833,167.55,81.27,83,90,0.0,VU,1633826556
Santa Ana,33.7456,-117.8678,78.04,53,1,1.01,US,1633826557
Kaeo,-35.1,173.7833,67.32,61,4,9.53,NZ,1633826560
Kärdla,58.9978,22.7492,52.05,85,100,11.52,EE,1633826561
Sungai Raya,0.7,108.9,82.63,81,99,5.53,ID,1633826563
Kambove,-10.8764,26.5969,70.21,37,64,4.21,CD,1633826564
Aconibe,1.2968,10.9369,68.4,99,100,3.83,GQ,1633826565
Caravelas,-17.7125,-39.2481,73.53,74,100,7.16,BR,1633826567
Kulhudhuffushi,6.6221,73.07,82.69,79,68,16.78,MV,1633826568
Lipin Bor,60.2622,37.9763,46.36,96,100,8.48,RU,1633826570
Nemuro,43.3236,145.575,59.43,82,88,25.28,JP,1633826571
Kununurra,-15.7667,128.7333,91.38,35,40,4.61,AU,1633826573
Seidu,9.0167,-10.6,69.35,98,100,1.16,SL,1633826574
Necochea,-38.5473,-58.7368,51.04,75,0,10.09,AR,1633826575
Copiapó,-27.3667,-70.3333,51.49,53,0,1.66,CL,1633826577
Arrondissement de Cahors,44.4167,1.3333,54.9,91,0,0.36,FR,1633826578
Mbanza-Ngungu,-5.25,14.8667,70.0,91,38,8.01,CD,1633826580
Trincomalee,8.5711,81.2335,80.26,83,100,16.98,LK,1633826581
Port Macquarie,-31.4333,152.9167,84.16,50,100,12.46,AU,1633826583
Channel-Port aux Basques,47.5702,-59.1367,44.62,71,9,8.66,CA,1633826584
Krasnyy Chikoy,50.3643,108.7512,35.47,69,11,3.71,RU,1633826586
Tourlaville,49.6383,-1.5664,56.62,94,90,3.44,FR,1633826587
Bathurst,-33.4166,149.5806,77.97,51,93,1.01,AU,1633826588
Djougou,9.7085,1.666,73.51,86,100,4.34,BJ,1633826590
Vilkaviškis,54.6517,23.0322,39.25,75,22,3.89,LT,1633826591
Deputatsky,69.3,139.9,21.04,80,100,4.18,RU,1633826593
Kez,57.8979,53.7152,41.52,98,100,3.69,RU,1633826595
Pauini,-7.7136,-66.9764,81.86,67,90,3.87,BR,1633826597
Bairiki Village,1.3292,172.9752,84.2,70,20,8.05,KI,1633826598
Panlaitan,12.1191,119.8486,81.37,84,100,20.74,PH,1633826600
Muisne,0.6,-80.0333,73.85,83,99,5.14,EC,1633826601
Rio Grande,-32.035,-52.0986,60.94,80,100,18.63,BR,1633826603
Nioro,13.35,-15.75,76.66,88,71,6.26,GM,1633826604
Shenjiamen,29.9576,122.298,78.6,87,2,8.79,CN,1633826605
Vanimo,-2.6741,141.3028,87.06,65,11,5.28,PG,1633826607
Morehead,37.2711,-87.1764,76.71,81,1,0.0,US,1633826608
Gornyatskiy,48.2915,40.9575,40.89,52,100,8.75,RU,1633826610
Sambava,-14.2667,50.1667,68.05,83,5,10.07,MG,1633826611
Esim,4.8699,-2.2405,77.58,89,100,8.81,GH,1633826613
Kloulklubed,7.0419,134.2556,79.3,78,100,20.31,PW,1633826614
